"userid","company","vat","phonenumber","city","country","zip","state","address","website","billing_street","billing_city","billing_state","billing_zip","billing_country","shipping_street","shipping_city","shipping_state","shipping_zip","shipping_country","longitude","latitude","default_language"
"3","African Population and Health Research Center (APHRC)","","","","","","","","","","","","","","","","","","","","",""
"4","American International Health Alliance (AIHA) – Twinning Center","","","","","","","","","","","","","","","","","","","","",""
"6","CIRHT","","","","","","","","","","","","","","","","","","","","",""
"7","CordAid","","","","","","","","","","","","","","","","","","","","",""
"8","Creative Associates","","","","","","","","","","","","","","","","","","","","",""
"9","Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)","","","","","","","","","","","","","","","","","","","","",""
"10","EngenderHealth","","","","","","","","","","","","","","","","","","","","",""
"15","FHI360","","","","","","","","","","","","","","","","","","","","",""
"16","Global Alliance for Vaccines and Immunizations (GAVI)","","","","","","","","","","","","","","","","","","","","",""
"17","HAQI Foundation","","","","","","","","","","","","","","","","","","","","",""
"18","Infomind Solutions","","","","","","","","","","","","","","","","","","","","",""
"20","International Labour Organization (ILO)","","","","","","","","","","","","","","","","","","","","",""
"21","International Livestock Research Institute (ILRI)","","","","","","","","","","","","","","","","","","","","",""
"22","Johns Hopkins University (JHU)","","","","","","","","","","","","","","","","","","","","",""
"24","Joshua Consultancy and NEP+","","","","","","","","","","","","","","","","","","","","",""
"25","JSI/DUP","","","","","","","","","","","","","","","","","","","","",""
"26","JSI/L10K","","","","","","","","","","","","","","","","","","","","",""
"28","Lifebox","","","","","","","","","","","","","","","","","","","","",""
"29","Mathematica","","","","","","","","","","","","","","","","","","","","",""
"32","Monash University","","","","","","","","","","","","","","","","","","","","",""
"33","Oxford Policy Management (OPM)","","","","","","","","","","","","","","","","","","","","",""
"34","Population Council","","","","","","","","","","","","","","","","","","","","",""
"35","Project HOPE","","","","","","","","","","","","","","","","","","","","",""
"36","PSI","","","","","","","","","","","","","","","","","","","","",""
"38","Save the Children","","","","","","","","","","","","","","","","","","","","",""
"39","SCOPE IMPACT","","","","","","","","","","","","","","","","","","","","",""
"40","The Fred Hollows Foundation","","","","","","","","","","","","","","","","","","","","",""
"41","The Gates Foundation","","","","","","","","","","","","","","","","","","","","",""
"42","The Mitchell Group","","","","","","","","","","","","","","","","","","","","",""
"43","The Palladium Group","","","","","","","","","","","","","","","","","","","","",""
"44","The World Bank Group","","","","","","","","","","","","","","","","","","","","",""
"45","Tulane University","","","","","","","","","","","","","","","","","","","","",""
"47","UNICEF – ESARO","","","","","","","","","","","","","","","","","","","","",""
"48","Women in Global Health (WGH)","","","","","","","","","","","","","","","","","","","","",""
"49","World Health Organization (WHO)","","","","","","","","","","","","","","","","","","","","",""
"50","World Health Organization (WHO) and Options","","","","","","","","","","","","","","","","","","","","",""
"51","ZOA","","","","","","","","","","","","","","","","","","","","",""
